session_id,event_timestamp,event_type,userid,product_id,category_id
7e1adf48-8c58-11ea-99c9-000000000001,10/14/2016 09:28 PM,remove_from_cart,796f62577d52d0b9ef08fbd43ef53d45,0c3ed87d108f627980e66e9258f9c305,cama_mesa_banho
7e1ae514-8c58-11ea-b86b-000000000008,10/23/2016 02:41 AM,purchase,847a58a689e3ae9ead5d38c6f179bd22,58f2eb98f8755091c439e30d48aa9b46,pcs
7e1aea06-8c58-11ea-a647-000000000001,10/01/2016 05:17 AM,remove_from_cart,8d9f573b6c97fd9d7402003cfe3124f2,1fcaf044ff67ca59df3f6cc560d9fbfc,utilidades_domesticas
7e1aee9c-8c58-11ea-b914-000000000005,12/27/2016 05:21 AM,view,0c09a5955ceae2f951a26b5f0f562c84,20a64c9ab614812a2634ebbd69bb4a02,automotivo
7e1af346-8c58-11ea-ad2c-000000000007,11/17/2016 02:29 AM,view,16d372b5ac4b2e258e740fe8054fd852,a5ffaf53a3938ac2c92f493e524adfca,papelaria
7e1af770-8c58-11ea-9503-000000000006,10/07/2016 05:02 PM,purchase,4619492b155e0aa14feba59ad43194b3,a925c2de748323d87a9a854884672e03,pet_shop
7e1afb80-8c58-11ea-ad8d-000000000009,12/11/2016 03:17 PM,purchase,28e94a3e825c0af13443d867262a7e6c,947f602dbb2ac7b6795cc5b1f0508a52,utilidades_domesticas
7e1affd8-8c58-11ea-8fd3-000000000000,09/19/2016 07:46 PM,purchase,de7b10bece4625b8676da31e0c93ee51,ba78f8e12cdd3d472e548247e0e68a72,cama_mesa_banho
7e1b0428-8c58-11ea-8e54-000000000005,10/03/2016 09:35 PM,view,dee22247fdc9435af84f5c0ab7f9bf7a,31c8ebd6dc2e12cfd9fde8eeaa32f36a,consoles_games
7e1b073a-8c58-11ea-8373-000000000002,09/16/2016 07:02 AM,add_to_cart,b3fac4767464b4cd4308f7178d3d0760,2b1253c7c4fc2b039a4a91b0a5f1cc68,utilidades_domesticas
7e1b0a5a-8c58-11ea-a3bf-000000000001,12/04/2016 02:22 PM,remove_from_cart,f4069d40ff2d2afe0053efe63932deda,443b89efbe906613ae1def8cd36fc872,relogios_presentes
7e1b0d7a-8c58-11ea-bdbf-000000000003,09/05/2016 05:26 PM,view,896d83a0aa63660580e188b137fe530e,7059637593d1eda31cef9582eba6a170,brinquedos
7e1b1098-8c58-11ea-9c22-000000000000,09/19/2016 02:25 PM,remove_from_cart,ab8844663ae049fda8baf15fc928f47f,f22ccf28078d6ba8961033bc6a20bc12,moveis_decoracao
7e1b13fe-8c58-11ea-95fe-000000000001,11/19/2016 08:44 PM,add_to_cart,a8e7d88628f29e914e2c74b804e573a8,a514c9314e6d8af09721786a8ab34c7e,moveis_decoracao
7e1b174c-8c58-11ea-b918-000000000000,11/09/2016 06:16 PM,view,89cc6bc87c7d96b36dff1b1c1233e884,5938705c2fd05674b76e26fd47b7eab4,moveis_decoracao
7e1b1ad0-8c58-11ea-8c39-000000000009,11/06/2016 02:54 PM,view,26b9df47600a751ee3d6e57c1dd9b560,ff817f0901191fbe02933928daa95e6e,automotivo
7e1b1e4c-8c58-11ea-a0b0-000000000005,11/20/2016 07:10 AM,purchase,8c4c6a0179865a08f434180f15745a76,eb3a1741e7422e1e9778cae59ed55bac,climatizacao
7e1b21ac-8c58-11ea-8950-000000000005,10/31/2016 03:34 AM,view,5e1de778ea1bea7c3d6f4c899226b7fa,cf5ab1e4be449bd825ea57d64bed5f21,cama_mesa_banho
7e1b255e-8c58-11ea-b064-000000000004,12/25/2016 09:31 PM,view,034a67c9a4d321daf61515903eb02063,35e5dc947c66435929389d8043b9a6ff,cool_stuff
7e1b28f4-8c58-11ea-8f9f-000000000002,10/18/2016 10:41 PM,remove_from_cart,ef39a324543d636b72fc7bec637077ce,c3309944c260af795614f886c749e6db,perfumaria
7e1b2c8c-8c58-11ea-a321-000000000001,11/15/2016 02:48 AM,view,c8e7201173fe31840a63f7e6b519d716,b73e7ccdd22c0bb891a93ec7d80b717f,eletroportateis
7e1b3014-8c58-11ea-af6c-000000000006,10/16/2016 04:54 AM,add_to_cart,2072fec3b5c685b0c11a2aadbed58072,e9b3cf27d68caa64832c4a7c460abcb9,cama_mesa_banho
7e1b333a-8c58-11ea-a733-000000000007,10/27/2016 01:04 PM,view,10503e40cd8afbb32597f599442f3ae3,c6bc6e6265a9e3e202b0e843c983e77f,telefonia
7e1b3642-8c58-11ea-a8f8-000000000007,12/03/2016 11:18 AM,view,d9318914bd9ab813e68a255c4127fa11,f9549e7746c357cc4228720985abbab2,cama_mesa_banho
7e1b3974-8c58-11ea-8de2-000000000002,12/26/2016 04:03 AM,view,5793f678892bf48b7d7065fd9e0c7d7f,68753ceccf509d2890f329f8d55fce79,automotivo
7e1b3c98-8c58-11ea-b556-000000000008,12/27/2016 02:15 AM,add_to_cart,cb5a3d3dea83e4200af551141613ddab,5ab535a49436f1b34f5b83ca7375c4ef,moveis_decoracao
7e1b3fb8-8c58-11ea-81b9-000000000000,12/23/2016 09:36 PM,add_to_cart,4f7b2f92ad2feeff85cb8762ba1835dc,ebb4f25d7c40bb0db47874a03edca0a6,utilidades_domesticas
7e1b42ca-8c58-11ea-8e0a-000000000002,10/08/2016 06:39 AM,purchase,d066bb1d9c73f09ddf40e60deca1b926,4828a218442ec2f75d8f75f4c0552781,brinquedos
7e1b45e2-8c58-11ea-9ee3-000000000006,11/26/2016 04:22 AM,add_to_cart,39045d6060998a076974587a93d62b14,954ed36fcf28237749ef5616ab0eff87,fashion_bolsas_e_acessorios
